Filme,Lancamento,Diretor,Generos,Atores,Avaliacao,Paises,Votos,data_adicao,link_imagem,Duracao,Ano_Add
The Nun,2018.0,Corin Hardy,"Horror,Thriller,Mystery","Taissa Farmiga,Demián Bichir,Bonnie Aarons,Jonas Bloquet,Ingrid Bisu,Patrick Wilson,Vera Farmiga,Lili Taylor,Charlotte Hope,Sandra Teles,Maria Obretin,August Maturo,Jack Falk,Lynnette Gaza,Ani Sava,Michael Smiley,Gabrielle Downey,David Horovitch,Tudor Munteanu,Lili Bordán,Scarlett Hicks,Izzie Coffey,Jared Morgan,Laur Dragan,Eugeniu Cozma,Manuela Ciucur,Beatrice Péter,Ana Udroiu,Andreea Sovan,Dana Voicu,Andreea Moldovianu,Beatrice Rubica,Claudia Susanu,Boiangiu Alma,Gabriela Irina Dinca,Dee Bradley Baker,Debra Wilson,Mark Steger,Lidiya Korotko,Emma Appleton,Jonny Coyne,Natalie Creek,Flynn Hayward,Daniel Mandehr,Samson Marraccino,Jamie Muscato,Lourdes Nadres,Simon Rhee,Sandra Rosko,HayRae Rummel,Claudio Lee Smith",2.06,USA,244973,2018/02/17,https://a.ltrbxd.com/resized/film-poster/3/7/1/8/4/2/371842-the-nun-0-230-0-345-crop.jpg,96,9/22/2018
The Predator,2018.0,Shane Black,"Adventure,Science Fiction,Action","Boyd Holbrook,Trevante Rhodes,Sterling K. Brown,Jacob Tremblay,Keegan-Michael Key,Olivia Munn,Thomas Jane,Alfie Allen,Augusto Aguilera,Jake Busey,Yvonne Strahovski,Brian A. Prince,Mike Dopud,Niall Matter,Javier Lacroix,Gabriel LaBelle,Nikolas Dukic,RJ Fetherstonhaugh,James S. Salisbury,Garry Chalk,Duncan Fraser,Emy Aneke,Darryl Scheelar,Fraser Aitcheson,Eduard Witzke,Jan Bos,Lochlyn Munro,Françoise Yip,Rhys Williams,Malcolm Masters,Harrison MacDonald,Sage Brocklebank,Coulton Jackson,Sean Owen Roberts,Colin Corrigan,Anousha Alamian,Ryan Scramstad,Patrick Sabongui,J.C. Williams,Sean Kohnke,Juan Pacheco,Lars Grant,Byron Brisco,Fraser Corbett,Chad Bellamy,Peter Shinkoda,Aaron Craven",2.12,"Canada,USA",101825,2015/07/01,https://a.ltrbxd.com/resized/film-poster/2/7/7/3/5/1/277351-the-predator-0-230-0-345-crop.jpg,107,9/22/2018
A Simple Favor,2018.0,Paul Feig,"Thriller,Comedy,Mystery,Crime","Anna Kendrick,Blake Lively,Henry Golding,Rupert Friend,Linda Cardellini,Bashir Salahuddin,Danielle Bourgon,Kelly McCormack,Andrew Rannells,Ian Ho,Joshua Satine,Paul Jurewicz,Roger Dunn,Dustin Milligan,Eric Johnson,Jason Oliveira,Patti Harrison,Ava LaFramboise,Jean Smart,Sarah Baker,Glenda Braganza,Zach Smadu,Andrew Moodie,Aparna Nancherla,Gia Sandhu,Melissa O'Neil,Jiah Mavji,Lila Yee,Sugenja Sri,Noorin Gulamgaus,Katherine Cullen,Howard Hoover,Ronnie Rowe,Melody Johnson,Corinne Conley,Olivia Sandoval,Nicole Peters,Lauren Peters,Umed Amin,Jamie Jones,Lesleh Donaldson,Tina Legris,Chris Owens,Geoffrey Antoine,Rosanna Scotto,Lorene Stokes,Stacey Coke,Jung-Yul Kim,Domenic Cina,Julio Benitez Guardiola,Debra Kaiser,Carmen Araiza,Michael Park Ingram,Glen Brough",3.18,"Canada,USA",209138,2017/10/31,https://a.ltrbxd.com/resized/film-poster/4/1/5/2/0/8/415208-a-simple-favor-0-230-0-345-crop.jpg,117,9/22/2018
The Old Man & the Gun,2018.0,David Lowery,"Crime,Drama,Comedy","Robert Redford,Casey Affleck,Sissy Spacek,Danny Glover,Tom Waits,Tika Sumpter,Ari Elizabeth Johnson,Teagan Johnson,Gene Jones,John David Washington,Barlow Jacobs,Augustine Frizzell,Jennifer Joplin,Lisa DeRoberts,Carter Bratton,Mike Dennis,Tomas Deckaj,Isiah Whitlock Jr.,Patrick Newall,Daniel Britt,Leah Roberts,Elisabeth Moss,Alphaeus Green, Jr.,Keith Carradine,Kevin McClatchy,Todd Covert,Kenneisha Thompson,Robert Longstreet,John Wayne Hunt,Clara Harris,Jordan Trovillion,Derek Snow,Barry Mulholland,Annie Fitzpatrick,J. Todd Anderson,Torrie Wiggins,Annell Brodeur,Toby Halbrooks,Christine Dye,Tom Lepera,Warren Bryson,Kelly Mengelkoch,Asher Parran,Kyndra Jefferies,Kay Geiger,Nathan Neorr,Dennis J. Barket,Cody Gilbert,Jack Doke,Alexander M. Partridge,Larry Jack Dotson,Pam Dougherty,Atheena Frizzell,Marissa Woolf,Todd Terry,Sydney Benter,Laurie Bird",3.53,USA,45762,2016/12/07,https://a.ltrbxd.com/resized/film-poster/3/6/2/4/9/8/362498-the-old-man-the-gun-0-230-0-345-crop.jpg,94,10/29/2018
Regression,2015.0,Alejandro Amenábar,"Horror,Thriller,Mystery","Ethan Hawke,Emma Watson,David Thewlis,Lothaire Bluteau,Aaron Ashmore,Dale Dickey,David Dencik,Devon Bostick,Peter MacNeill,Adam Butcher,Jacob Neayem,Aaron Abrams,Catherine Disher,Julian Richings,Kristian Bruun,Wendy Lyon,Maura Grierson,Patrick Garrow,Janet Porter,Deborah Grover,Lenno Britos,Pamela MacDonald,Goran Stjepanovic,James Preston Rogers,Heather Lapine,Carrie Eklund,Adrian Griffin,Stephen Hughes,Vanessa Spencer,Noah Segura,Attila Sebesy,Alli McLaren,Mackenzie Kerfoot",2.4,"Canada,Spain,USA",21464,2013/12/06,https://a.ltrbxd.com/resized/sm/upload/vi/3f/fq/i5/7SbDXFLEa7n41rSRec3ndgExo8m-0-230-0-345-crop.jpg,106,12/17/2018
Dumbo,2019.0,Tim Burton,"Fantasy,Family,Adventure","Colin Farrell,Michael Keaton,Danny DeVito,Eva Green,Alan Arkin,Nico Parker,Finley Hobbins,Roshan Seth,Deobia Oparei,Joseph Gatt,Miguel Muñoz Segura,Sharon Rooney,Zenaida Alcalde,Michael Buffer,Phil Zimmerman,Ragevan Vasan,Frank Bourke,Zelda Rosset Colon,Benjamin French,Jana Posna,Jo Osmond,Jewels Good,Lars Eidinger,Tom Seekings,Douglas Reith,Sandy Martin,Heather Rome,Scott Haney,Erick Hayden,Greg Canestrari,Chris Rogers,Max Gill,Peter Brookes,Simon Connolly,Nick Bartlett,Harry Taylor,Vincent Andriano,Liam Bewley,Ben Crowe,Josef Davies,Clive Brunt,Richard Leeming,Angela Ashton,Alice Bonifacio,Philip Rosch,Joseph Macnab,Rob Heanley,Amerjit Deu,Lucy DeVito,Richard James-Clarke,Matthew Castle,Bret Jones,Zee Asha,Carol Been,Jessica Barker-Wren,Arabella Neale,Rosie Akerman,Tim Southgate,Anatoli Akerman,Kamil Lemieszewski,Zoë Scott,Suan-Li Ong,Paul Riddell,Will Rowlands",2.56,"Australia,Canada,UK,USA",92371,2015/03/12,https://a.ltrbxd.com/resized/film-poster/2/5/7/5/4/0/257540-dumbo-0-230-0-345-crop.jpg,112,12/17/2018
Hellboy,2004.0,Guillermo del Toro,"Action,Fantasy","Ron Perlman,Selma Blair,Doug Jones,John Hurt,Rupert Evans,Jeffrey Tambor,Ladislav Beran,Bridget Hodson,Karel Roden,Brian Steele,Corey Johnson,Kevin Trainor,Brian Caspe,James Babson,Stephen Fisher,Garth Cooper,Angus MacInnes,Jim Howick,Mark Taylor,Daniel Aarsman,Bettina Ask,Alvaro Navarro,Emilio Navarro,Rory Copus,Tara Hugo,Richard Haas,Andrea Miltner,Jo Eastwood,Charles Grisham,Jan Holíček,Jeremy Zimmermann,Monty L. Simons,Pavel Cajzl,Andrea Stuart,William Hoyland,Millie Wilkie,Bob Sherman,Ellen Savaria,Petr Sekanina,Aleš Košnar,Justin Svoboda,Winter Ave Zoli,Santiago Segura,Albert Moy,David Hyde Pierce,Helene Maksoud,Guillermo del Toro,Mike Mignola,Miroslav Lhotka,Michael Lindsay,Todd Kramer",3.39,"Czechia,USA",173467,2011/06/22,https://a.ltrbxd.com/resized/film-poster/5/1/0/1/2/51012-hellboy-0-230-0-345-crop.jpg,122,12/18/2018
Hellboy II: The Golden Army,2008.0,Guillermo del Toro,"Fantasy,Action,Adventure","Ron Perlman,Selma Blair,Doug Jones,John Alexander,Seth MacFarlane,Luke Goss,Anna Walton,Jeffrey Tambor,John Hurt,James Dodd,Brian Steele,Andrew Hefler,Kamarás Iván,Mike Kelly,Jeremy Zimmermann,Santiago Segura,Roy Dotrice,Aidan Cook,Jeanne Mockford,Montse Ribé,Elek Ferenc,Alex McSweeney,Justin Pierre,Matthew O'Toole,Jamie Wilson,Clive Llewellyn,Sándor Svigelj,Brian Herring,Pálma Pásztor,Jimmy Kimmel,Tim Flavin,Belinda Henley,Blake Perlman,Matt Rippy,Judit Viktor,Szonja Oroszlán,Michael Mehlmann,Todd Williams,Beatrice Zentai,Peter Horkay,Richard Rifkin,Guillermo del Toro,Tim Larsen,Gavin McKenzie,Julia Papp",3.39,"Germany,Hungary,USA",117979,2011/06/20,https://a.ltrbxd.com/resized/film-poster/4/5/4/5/9/45459-hellboy-ii-the-golden-army-0-230-0-345-crop.jpg,120,12/18/2018
Robin Hood,2018.0,Otto Bathurst,"Action,Thriller,Adventure","Taron Egerton,Jamie Foxx,Ben Mendelsohn,Eve Hewson,Jamie Dornan,Tim Minchin,Paul Anderson,F. Murray Abraham,Ian Peck,Cornelius Booth,Kane Headley-Cummings,Scot Greenan,Lara Rossi,Kevin Griffiths,Catriona Temple,Björn Bengtsson,Matt Devere,Nicholas Wittman,Yasen Atour,Josh Herdman,Jerome Holder,Kembe Sorel,Jonathan Peck,László Áron,Declan Hannigan,Antonio Lujak,Andrea Mladinic,Frane Perišin,Roderick Hill,Amélina Limousin",2.19,USA,36087,2016/01/04,https://a.ltrbxd.com/resized/film-poster/3/1/1/0/4/9/311049-robin-hood-0-230-0-345-crop.jpg,116,12/21/2018
Tomb Raider,2018.0,Roar Uthaug,"Action,Fantasy,Adventure","Alicia Vikander,Dominic West,Walton Goggins,Daniel Wu,Kristin Scott Thomas,Derek Jacobi,Alexandre Willaume,Tamer Burjaq,Adrian Collins,Keenan Arrison,Andrian Mazive,Milton Schorr,Hannah John-Kamen,Peter Waison,Samuel Mak,Sky Yang,Civic Chung,Josef Altin,Billy Postlethwaite,Roger Jean Nsengiyumva,Jaime Winstone,Michael Obiora,Shekhar Varma,Rekha John-Cheriyan,Antonio Aakeel,Maisy De Freitas,Emily Carey,Gordon Chow,Duncan Airlie James,Jandre le Roux,Vere Tindale,Annabel Wood,Kenneth Fok,Maruwan Gasant,Nick Frost,Sarah Sayuri Hare",2.71,"Japan,UK,USA",139011,2015/05/06,https://a.ltrbxd.com/resized/film-poster/2/6/8/3/8/3/268383-tomb-raider-0-230-0-345-crop.jpg,118,12/21/2018
