Filme,Lancamento,Diretor,Generos,Atores,Avaliacao,Paises,Votos,data_adicao,link_imagem,Duracao,Ano_Add
The Departed,2006.0,Martin Scorsese,"Crime,Thriller,Drama","Jack Nicholson,Leonardo DiCaprio,Matt Damon,Mark Wahlberg,Vera Farmiga,Martin Sheen,Ray Winstone,Anthony Anderson,Alec Baldwin,Kevin Corrigan,James Badge Dale,David O'Hara,Robert Wahlberg,Kristen Dalton,Thomas B. Duffy,Richard Hughes,Chance Kelly,Larry Mitchell,Mark Rolston,J. C. MacKenzie,Mary Klug,Robert 'Toshi' Kar Yuen Chan,Peg Holzemer,Gurdeep Singh,Armen Garo,John Cenatiempo,Brian Smyj,William Severs,Douglas Crosby,Dorothy Lyman,Audrie Neenan,Conor Donovan,Patrick Coppola,Mick O'Rourke,Nellie Sciutto,Henry Yuk,John Rue,Joseph P. Reidy,John Farrer,Billy Smith,Brian Haley,Terry Serpico,Jay Giannone,David Conley,Tracey Paleo,Jill Brown,Tom Kemp,Kevin P. McCarthy,Chris Fischer,Joseph Riccobene,Johnny Cicco,Lyman Chen,Shay Duffin,David Fischer,Emma Tillinger Koskoff,Craig 'Radioman' Castaldo,Francesca Scorsese,Dennis Lynch,Michael Byron,Takumi Bando,Eric Bruno Borgman,Brendan Burke,Chris Chinn,Jeffrey Corazzini,Jim Ford,Trudi Goodman,Steve Lord,Jack McCullough,Osmani Rodriguez,Lawrence Cameron Steele,Conor Timmis,Joseph Oliveira,Adam Masnyk,John Franchi,Paul McGillicuddy,Kim Carrell,Rebecca Love,Sarah Fearon,Anthony Estrella,Andrew Breving,Frank Mallicoat,Paula DeMers,Amanda Lynch,Sallie Toussaint,Deborah Carlson,Peter Welch,William Lee,Peter Crafts,Paris Karounos,John Polce,Bo Cleary,Victor Chan,Denece Ryland,Zachary Pauliks,Daniel F. Risteen Jr.,Francis P. Hughes,John McConnell,Kenneth Stoddard,Jeffrey Winter,Paddy Curran,Mark Philip Patrick,Walter Y.F. Wong,Tony M. Yee,Alex Morris",4.29,"Hong Kong,USA",694757,2011/06/22,https://a.ltrbxd.com/resized/sm/upload/jr/th/pu/pb/laefkgrfa3oKwvBtWTBtf2suiI4-0-230-0-345-crop.jpg,151,7/7/2020
Two Lovers,2008.0,James Gray,"Romance,Drama","Joaquin Phoenix,Gwyneth Paltrow,Vinessa Shaw,Isabella Rossellini,Moni Moshonov,Elias Koteas,Bob Ari,David Ross,Anne Joyce,Elliot Villar,Craig Walker,Carmen M. Herlihy,Don Hewitt Jr.,Christian Albrizo,Julie Budd,Iain J. Bopp,Samantha Ivers,Jeanine Serralles,Miguel Rivera,Clinton C. Ingram,Doug Wright,Shiran Nicholson,Marion McCorry,Saidah Arrika Ekulona,David Cale,Sy Fader,Joel Horwitz,John Baker,Kathryn Gerhardt,Luis Dalmasy Jr.,Alex Felix,Geronimo Frias, Jr.,Mari Koda,Pedro Morillo Jr.,Anthony Ramos,Diosmer Reynoso,Edwige Sam,Franco Bulaon,Renee Fishman,Bianca Giancoli,Nick Gillie,Andrew Ginsburg,Brian Hopson,RJ Konner,Evan Lewis,Uzimann,Mark Vincent",3.72,"USA,France",28444,2011/06/20,https://a.ltrbxd.com/resized/sm/upload/dz/rs/bp/rr/9HfZ1JyrGZAglrNHdRFc8196Ina-0-230-0-345-crop.jpg,110,7/9/2020
The Lego Movie,2014.0,Phil Lord,"Family,Animation,Adventure,Fantasy,Comedy","Chris Pratt,Elizabeth Banks,Will Ferrell,Morgan Freeman,Will Arnett,Liam Neeson,Alison Brie,Nick Offerman,Charlie Day,Channing Tatum,Jonah Hill,Cobie Smulders,Anthony Daniels,Billy Dee Williams,Keith Ferguson,Shaquille O'Neal,Will Forte,Dave Franco,Jake Johnson,Keegan-Michael Key,Todd Hansen,David Burrows,Chris McKay,Jorma Taccone,Christopher Miller,Chris Romano,Kelly Lafferty,Graham Miller,Amanda Farinos,Craig Berry,Doug Nicholas,Chris Paluszek,Melissa Sturm,Leiki Veskimets,Jadon Sand",3.78,"Australia,Denmark,USA",561722,2012/10/11,https://a.ltrbxd.com/resized/sm/upload/az/2g/rn/wz/7HdNvpAMnU9rjKDJSFzAjnsz0eh-0-230-0-345-crop.jpg,100,7/9/2020
Indiana Jones and the Kingdom of the Crystal Skull,2008.0,Steven Spielberg,"Action,Adventure","Harrison Ford,Cate Blanchett,Karen Allen,Shia LaBeouf,Ray Winstone,John Hurt,Jim Broadbent,Igor Jijikine,Dimitri Diatchenko,Ilia Volok,Emmanuel Todorov,Pasha D. Lychnikoff,Andrew Divoff,Venya Manzyuk,Alan Dale,Joel Stoffer,Neil Flynn,V.J. Foster,Chet Hanks,Brian Knutson,Dean Grimes,Sasha Spielberg,Nicole Luther,Sophia Stewart,Chris Todd,Dennis Nusbaum,T. Ryan Mooney,Audi Resendez,Helena Barrett,Carlos Linares,Gustavo Hernandez,Maria Luisa Minelli,Nito Larioza,Ernie Reyes Jr.,Jon Valera,Kevin Collins,Robert Baker,Lee Morrison,Martin Dew,Bogdan Szumilas,Michael J. Jacyna,Andre Alexsen,Gregory Kudanovych,Alexander Kaminer,Joe Jagatic,Derek Mears,Ian Novotny,Jason Roehm,Ilya Rockwell,Ilya Jonathan Zaydenberg,Errol Sack,Jon Braver,Jonathan Lomma,Josh Mills,Noelle Bruno,Michael Maddigan,Bryan Thompson,Sean Marrinan,Adam Kirley,Chris Bryant,Adam Prakop,Erin Frederick,Andrew Goldfarb,Fileena Bahris,Dianne Zaremba,Jared Christopherson,Brendon John Kelly,Sam Rocco,Steven A. Miller,Paul Thornton,John H. Tobin,Ted Grossman,Ana Maria Quintana,Tim Camarillo,Janet Lopez,Maria Zambrana,Marly Coronel,Chuck Maldonado,David LaVera,Arnold Chon,Philip J. Silvera,Amanda Bromberg",2.66,USA,322795,2011/06/22,https://a.ltrbxd.com/resized/film-poster/5/1/8/3/9/51839-indiana-jones-and-the-kingdom-of-the-crystal-skull-0-230-0-345-crop.jpg,122,7/27/2020
Castle in the Sky,1986.0,Hayao Miyazaki,"Fantasy,Adventure,Romance,Family,Action,Animation","Keiko Yokozawa,Mayumi Tanaka,Minori Terada,Kotoe Hatsui,Fujio Tokita,Ichiro Nagai,Hiroshi Ito,Machiko Washio,Takumi Kamiyama,Yoshito Yasuhara,Sukekiyo Kameyama,Eken Mine,TARAKO,Masashi Sugawara,Reiko Suzuki,Hochu Otsuka,Tomomichi Nishimura,Ryūji Saikachi,Takuzou Kamiyama,Takahiro Hirai,Megumi Hayashibara,Toshihiko Seki",4.03,Japan,236828,2011/06/20,https://a.ltrbxd.com/resized/film-poster/4/6/1/5/7/46157-castle-in-the-sky-0-230-0-345-crop.jpg,125,10/9/2020
Kiki's Delivery Service,1989.0,Hayao Miyazaki,"Family,Fantasy,Animation,Adventure","Minami Takayama,Rei Sakuma,Kappei Yamaguchi,Keiko Toda,Mieko Nobusawa,Koichi Miura,Haruko Katō,Hiroko Seki,Yuriko Fuchizaki,Koichi Yamadera,Kikuko Inoue,Yuko Kobayashi,Mika Doi,Takaya Hashi,Chika Sakamoto,Yoshiko Asai,Hiroko Maruyama,Shinpachi Tsuji,Yuko Maruyama,Masa Saitō,Yuko Tsuga,Tomomichi Nishimura,Akio Otsuka,Yoshiko Kamei,Keiko Kagimoto,Takashi Taguchi,Michihiro Ikemizu",4.12,Japan,441873,2011/06/20,https://a.ltrbxd.com/resized/sm/upload/5e/rk/0e/99/C70E830B-E641-4CD4-87B3-8DFB91383E20-0-230-0-345-crop.jpg,103,10/9/2020
Porco Rosso,1992.0,Hayao Miyazaki,"Family,Adventure,Comedy,Animation","Shūichirō Moriyama,Tokiko Kato,Bunshi Katsura Vi,Tsunehiko Kamijō,Akemi Okamura,Akio Otsuka,Hiroko Seki,Reizō Nomoto,Osamu Saka,Yu Shimaka,Mahito Tsujimura,Minoru Yada,Yoko Soumi",3.97,Japan,197818,2011/06/20,https://a.ltrbxd.com/resized/sm/upload/pf/lk/cj/4e/nCx0EESDNxwXGn7rkCU6cvXTpIB-0-230-0-345-crop.jpg,94,10/9/2020
Whisper of the Heart,1995.0,Yoshifumi Kondo,"Drama,Animation,Family","Yoko Honna,Issey Takahashi,Takashi Tachibana,Shigeru Muroi,Minami Takayama,Mayumi Izuka,Yorie Yamashita,Keiju Kobayashi,Naohisa Inoue,Shigeru Tsuyuguchi,Toshio Suzuki,Maiko Kayama,Yoshimi Nakajima,Mai Chiba,Satoru Takahashi,Akiko Sakaguchi,Hiromi Yasuda,Tatsuya Okada,Yoshihiro Imai,Suguru Egawa,Shiro Kishibe,Mitsuaki Ogawa",4.14,Japan,172195,2011/06/18,https://a.ltrbxd.com/resized/film-poster/2/6/7/1/3/26713-whisper-of-the-heart-0-230-0-345-crop.jpg,111,10/9/2020
Ponyo,2008.0,Hayao Miyazaki,"Family,Fantasy,Animation","Yuria Kozuki,Hiroki Doi,George Tokoro,Tomoko Yamaguchi,Yuki Amami,Kazushige Nagashima,Akiko Yano,Shinichi Hatori,Tokie Hidari,Rumi Hiiragi,Tomoko Naraoka,Kazuko Yoshiyuki,Eimi Hiraoka,Nozomi Ōhashi,Akiko Takeguchi,Eiko Kanazawa,Akihiko Ishizumi,Tomie Kataoka,Shirô Saitô,Mutsumi Sasaki,Keiko Tsukamoto,Ikuko Yamamoto,Michiko Yamamoto,Yoshie Yamamoto,Yusuke Tezuka",4.02,Japan,422210,2011/06/20,https://a.ltrbxd.com/resized/film-poster/4/4/5/9/4/44594-ponyo-0-230-0-345-crop.jpg,100,10/9/2020
The Wind Rises,2013.0,Hayao Miyazaki,"War,Drama,Animation","Hideaki Anno,Hidetoshi Nishijima,Miori Takimoto,Masahiko Nishimura,Stephen Alpert,Mansai Nomura,Jun Kunimura,Mirai Shida,Shinobu Otake,Morio Kazama,Keiko Takeshita,Sascha,Kaichi Kaburagi,Maki Shinta",4.06,Japan,198572,2012/12/14,https://a.ltrbxd.com/resized/film-poster/1/1/2/9/5/7/112957-the-wind-rises-0-230-0-345-crop.jpg,126,10/9/2020
The Tale of the Princess Kaguya,2013.0,Isao Takahata,"Fantasy,Animation,Drama","Aki Asakura,Takeo Chii,Nobuko Miyamoto,Kengo Kora,Atsuko Takahata,Tomoko Tabata,Shinosuke Tatekawa,Takaya Kamikawa,Hikaru Ijūin,Ryudo Uzaki,Shichinosuke Nakamura,Isao Hashizume,Tatsuya Nakadai,Yukiji Asaoka,Tamaki Kojo,Yuji Miyake,Mirai Uchida,Hiroyuki Yamamoto",4.22,Japan,123435,2012/12/14,https://a.ltrbxd.com/resized/film-poster/1/1/2/9/5/6/112956-the-tale-of-the-princess-kaguya-0-230-0-345-crop.jpg,137,10/9/2020
Dog Pound,2010.0,Kim Chapiron,Drama,"Adam Butcher,Shane Kippel,Mateo Morales,Taylor Poulin,Slim Twig,Dewshane Williams,Lawrence Bayne,Trent McMullen,Jeff McEnery,Bryan Murphy,Michael Morang,Clayton Joseph,Alexander Conti,William Christopher Ellis,Michael States Jr.,Robbie O'Neill,Jane Wheeler",3.57,"Canada,France,UK",5409,2011/06/18,https://a.ltrbxd.com/resized/film-poster/2/1/2/3/9/21239-dog-pound-0-230-0-345-crop.jpg,91,10/16/2020
Ladyhawke,1985.0,Richard Donner,"Comedy,Adventure,Fantasy","Matthew Broderick,Rutger Hauer,Michelle Pfeiffer,Alfred Molina,John Wood,Leo McKern,Ken Hutchison,Giancarlo Prete,Loris Loddi,Charles Borromel,Massimo Sarchielli,Nicolina Papetti,Alessandro Serra,Venantino Venantini,Nanà Cecchi,Gregory Snegoff,Benito Stefanelli,Giovanni Cianfriglia,Nello Pazzafini,Augusto Funari,Omero Capanna,Mario Novelli,Giuseppe Marrocco,Aldo Formisano",3.3,USA,15509,2011/06/22,https://a.ltrbxd.com/resized/sm/upload/nr/94/sz/74/51RFCKLFuEbvLQsFzXcupQnkoRD-0-230-0-345-crop.jpg,121,10/26/2020
The Mist,2007.0,Frank Darabont,"Thriller,Science Fiction,Horror","Thomas Jane,Laurie Holden,Toby Jones,Marcia Gay Harden,Andre Braugher,William Sadler,Jeffrey DeMunn,Samuel Witwer,Chris Owen,Alexa Davalos,David Jensen,Frances Sternhagen,Nathan Gamble,Robert C. Treveiler,Melissa McBride,Andy Stahl,Buck Taylor,Brandon O'Dell,Jackson Hurst,Brian Libby,Susan Malerstein,Mathew Greer,Juan Gabriel Pareja,Walter Fauntleroy,Amin Joseph,Kelly Collins Lintz,Ginnie Randall,Tiffany Morgan,Kim Wall,Julio Cedillo,Ron Clinton Smith,Gregg Brazzel,Sonny Franks,Dodie Brown,Taylor E. Brown,Jay Amor,Kevin Beard,Jimmy Lee Jr.,Derek Cox-Berg,Cherami Leigh,Louis Herthum,Mike Martindale,Eric Kelly McFarland,Ritchie Montgomery,Ted Ferguson",3.42,USA,201186,2011/06/22,https://a.ltrbxd.com/resized/film-poster/4/8/6/0/2/48602-the-mist-0-230-0-345-crop.jpg,126,11/9/2020
Godzilla vs. Kong,2021.0,Adam Wingard,"Thriller,Science Fiction,Action","Alexander Skarsgård,Millie Bobby Brown,Rebecca Hall,Brian Tyree Henry,Shun Oguri,Eiza González,Julian Dennison,Lance Reddick,Kyle Chandler,Demián Bichir,Kaylee Hottle,Hakeem Kae-Kazim,Ronny Chieng,John Pirruccello,Chris Chalk,Conlan Casal,Brad McMurray,Benjamin Rigby,Nick Turello,Daniel Nelson,Priscilla Doueihy,Kei Kudo,Bradd Buckley,John Walton,Daniel Tuiara,David Castillo,Kofi Yiadom,Jim Palmer,Drew Walton,Tara Wraith,Jason Virgil,Grisel Toledo,Jason Szabo,Jason Speer,Sen Shao,Scott M. Schewe,Charles Sans,Tasneem Roc,Jon Quested,Joel Pierce,Sofia Nolan,Shawn McBride,Victoria Liu,Sonny Le,Santi Lawson,Garreth Hadfield",2.79,USA,341670,2016/05/28,https://a.ltrbxd.com/resized/film-poster/3/3/3/8/2/5/333825-godzilla-vs-kong-0-230-0-345-crop.jpg,114,1/30/2021
Jason Bourne,2016.0,Paul Greengrass,"Action,Drama,Mystery,Thriller","Matt Damon,Tommy Lee Jones,Alicia Vikander,Vincent Cassel,Julia Stiles,Riz Ahmed,Joe Kennard,Amy De Bhrún,Ato Essandoh,Scott Shepherd,Bill Camp,Vinzenz Kiefer,Stephen Kunken,Ben Stylianou,Kaya Yuzuki,Matthew O'Neill,Lizzie Phillips,Paris Stangl,Gregg Henry,Matt Blair,Akie Kotabe,Robin Crouch,Miguel Alves-Khan,Robert Stanton,Duran Fulton Brown,Charles Jarman,Jay Vincent Diaz,Richard Nunez,Sonny Robertson,James Dormuth,Dexter Emery,Jorge Luis Alvarez,Ava Katharina Maria Hoeller,Shane Williams,Frank Roskowski,Johnny Cicco,Martin Daniel Latham,Trevor White,Sasha Larkin,Barrie Brown,Stuart Jeffrey Cram,Brian Duda,Hugo Alonzo,Griffin Andrews,Jeremy Angel,Jozef Aoki,Sarah Armstrong,Alphonso Austin,Martin Ballantyne,Tim Baros,Gintare Beinoraviciute,Tom Bonello,Charles-Jean Boucher,Allen Bracken,Vin'Cenzo Burgess,Anthony Burkhalter,Eduardo Jed Camara,Hunter Cannistraci,Lenisa Ann Careaga,Nicole Chauvet,Shin-Fei Chen,Jeannine Comeau,Constance Consola,Angel Contreras,Alexander Cooper,Jesse M. Cooper,Graig Couton,Lisamarie Cowan,Roger Julian Cross,Gioacchino Jim Cuffaro,Graham Curry,Darlene Dalmaceda,Erin C. Davis,Christine de Lota,Steven I. Dillard,Timothy Skyler Dunigan,Andrew Dunkelberger,Paul Edney,Barbara Edwards,Heiko Effenberger,Aaron Egawa,Daniel Eghan,Clara Emanuel,Ricardo Ewert,Dino Fazzani,Nathan Ferguson,Joseph D Fisher,Ellie Fox,Alexander Garganera,Gladis Giada,Alex Gillison,Philip Greene,Shane Griffin,Kevin Hager,Phillip Allen Hall III,Yumiko Hanasaka,Jeanette Hatlestad,Michael Haydon,John Heartstone,David Hershwitzky,Jamie Hodge,Yusuf Hofri,Ken Holliday,Romulus Hotea,Jahmilla Jackson,Dolly Jagdeo,Bron James,Jimi James,Kyle James,Natasha Jenssen,Kyle Jerichow,Jauhara Jivanji,Mark Justice,Attila G. Kerekes,Kyle Kesterson,Marat Khairoullin,Kaveh Khatiri,Slim Khezri,Elle van Knoll,Steven Krasner,Vivian Yoon Lee,Kamil Lemieszewski,Matthew Leonhart,David Ae Levy,Raul Limon,Frank Lui Geo,Kevin Lye,Rob Marchitti,Maria Marra,Garry Marriott,Alex Martin,Jason Matthewson,Stephanie McIntyre,Amelie McKendry,Addyson Medley,Anthony Molinari,Robb Moon,Sean Moon,Ashley Nicole Murray,Celina Nessa,Brodi Nicholas,Jason Novak,Emeson Nwolie,Lisa Nygard-Pugh,Angelo Olivier,Sarah Ospina,Mac Pietowski,Dean Preston,Damon Proctor,Jon Prophet,Abigail Rich,Lovell Richards,Brian Robak,Belen Rosenberg,Andre Rutherford,Nunzio Santoro,Shane Santos,Lani Sarem,Kaleigh Saunders,Nicolas Savidis-Macris,Mark Sawtelle,Earl Vincent Sherwood II,Adonis Simmons,Neil Alexander Smith,Eric Sparks,Richard Stanley,Elicia Stokes Navarro,Alyx Stone,Aaron Strong,Paul Terry,Tony Toste,Michael Tushaus,Luke Van Bergen,Tony Vivio,Zhaleh Vossough,Marla Aaron Wapner,Don Whatley,LaFonda Whitehead,Chris Wolfe,Andie Ximenes,Alexander Yassin,Brad Hamerly,Brandon Chapmond",2.88,"China,USA",97532,2015/02/11,https://a.ltrbxd.com/resized/film-poster/2/5/1/7/7/3/251773-jason-bourne-0-230-0-345-crop.jpg,123,6/27/2021
The Bourne Legacy,2012.0,Tony Gilroy,"Thriller,Action","Jeremy Renner,Rachel Weisz,Edward Norton,Stacy Keach,Dennis Boutsikaris,Oscar Isaac,Joan Allen,Albert Finney,David Strathairn,Scott Glenn,Donna Murphy,Michael Chernus,Corey Stoll,Zeljko Ivanek,Shane Jacobson,Elizabeth Marvel,John Douglas Thompson,Louis Ozawa,David Wilson Barnes,Neil Brooks Cunningham,Corey Johnson,Michael Berresse,Alice Gainer,Prue Lewarne,Howard Leader,James Joseph O'Neil,Tony Guida,Sonnie Brown,Robert Christopher Riley,Noel Wilson,Jennifer Kim,Page Leong,Adi Hanash,Robert Prescott,Don Guillory,Patrick Vincent Marro,Ali Reza,Gita Reddy,Tom Riis Farrell,Steve Routman,Peter Lewis,Anitha Gandhi,Heather Rasche,Natalie Bird,Nilaja Sun,Christopher Mann,Billy Smith,Murray Knudsen,Susan Egbert,Tim Devitt,Brian Poteat,Clayton J. Barber,Michael Papajohn,David Leitch,Deidre Goodwin,Laura Spaeth,Sam Gilroy,Rachel Black,Sharon Washington,Frank Deal,Rob Yang,Catherine Curtin,Matt Oberg,Gary Lee Mahmoud,Faye Yvette McQueen,Pat Battle,Nico Bernuth,Jane Jameston,Roland Manansala,John Arcilla,Josh Banks,Allen Jo,Jonathan Eusebio,Jon Valera,Carl Villa Roman,Madeleine Nicolas,Ruby Ruiz,Cherry Devera,Julienne Orindain,Antonette Garcia,Sonny Tuazon,Normandy Bacaltos,Edgar Letran,Alvin Zalamea,Spencer Sano,Julie Ysla,Joel Torre,Ermie Concepcion,Arthur Acuña,Adrian Talinga,Lou Veloso,Ian Blackman,Jodi Applegate Kay,Tony Carlin,Karen Pittman,Ana Berry,Matthew J. Walters,Brian O'Neill,Paddy Considine,Sheena Colette,Alexis Molnar,Courtney Hart",2.78,USA,81019,2011/06/17,https://a.ltrbxd.com/resized/sm/upload/lc/cd/9p/2a/qIJonjlSzU6LCJklS6CH3p5vLcQ-0-230-0-345-crop.jpg,135,6/28/2021
F9,2021.0,Justin Lin,"Crime,Adventure,Action","Vin Diesel,Michelle Rodriguez,Tyrese Gibson,Ludacris,John Cena,Nathalie Emmanuel,Jordana Brewster,Sung Kang,Michael Rooker,Helen Mirren,Kurt Russell,Charlize Theron,Finn Cole,Thue Ersted Rasmussen,Anna Sawai,Lucas Black,Shad Moss,Don Omar,Shea Whigham,Vinnie Bennett,J. D. Pardo,Jim Parrack,Siena Agudong,Isaac Holtane,Immanuel Holtane,Azia Dinea Hale,Zhang Juju,Karson Kern,Igby Rigney,Sophia Tatum,Francis Ngannou,Martyn Ford,Bad Bunny,Jimmy Lin,Jason Tobin,Cardi B,Cered,Ozuna,Oqwe Lin,Bill Simmons,Vincent Sinclair Diesel,Luka Hays,Robert Bastens,Jason Statham,Gal Gadot,Demitra Sealy",2.35,USA,168718,2016/03/01,https://a.ltrbxd.com/resized/film-poster/3/2/0/0/0/0/320000-f9-0-230-0-345-crop.jpg,143,7/26/2021
Edward Scissorhands,1990.0,Tim Burton,"Drama,Romance,Fantasy","Johnny Depp,Winona Ryder,Dianne Wiest,Alan Arkin,Anthony Michael Hall,Vincent Price,Kathy Baker,Robert Oliveri,Conchata Ferrell,Caroline Aaron,Dick Anthony Williams,O-Lan Jones,Susan Blommaert,Linda Perri,John Davidson,Biff Yeager,Donna Pieroni,Alan Fudge,Brett Rice,Marc Macaulay,Stuart Lancaster,Steven Brill,Gina Gallagher,Aaron Lustig,Peter Palmer,Kathy Lockwood,Linda Jean Hess,Andrew B. Clark,Bea Albano,Marti Greenberg,Kelli Crofton,Gary Clark,Joe Sheldon,Doyle Anderson,Carol D. Klasek,Harvey Bellman,Cecil Hawkins,Jack W. Kapfhamer,James Spicer,Jackie Carson,Carol Crumrine,Jalaine Gallion,Dianne L. Green,Ellin Dennis,Rex Fox,Miriam Goodspeed,Russell E. Green,Laura Nader,Mary Jane Heath,Phil Olson,Roland Douville,Tammy Boalo,Suzanne Chrosniak,Bryan Larkin,Tim Rerucha,Nick Carter",3.86,USA,625585,2011/06/22,https://a.ltrbxd.com/resized/film-poster/5/1/8/8/9/51889-edward-scissorhands-0-230-0-345-crop.jpg,105,9/9/2021
Good Time,2017.0,Josh Safdie,"Thriller,Crime","Robert Pattinson,Benny Safdie,Buddy Duress,Taliah Webster,Barkhad Abdi,Jennifer Jason Leigh,Necro,Peter Verby,Gladys Mathon,Saida Mansoor,Rose Gregorio,Eric Paykert,Astrid Corrales,Rachel Black,Hirakish Ranasaki,Maynard Nicholl,Ben Edelman,Laurence Blum,Jason Harvey,Robert Clohessy,Michael Kaufman,Goran Spadina,Michael McClard,Eloisa Santos,Bryan Seslow,Craig muMs Grant,George Lee Miles,Kate Halpern,Christopher Kirk,Leticia Ortega,Souleymane Sy Savane,Mahadeo Shivraj,Dorothi Fox,Ratnesh Dubey,Tessa O'Conner,Jim Handley,Cliff Moylan,Peter Linari,Chris Breslin,Evonne Walton,Lewis Dodley,Tara Lynn Wagner,Jim Dzurenda,Roy James Wilson,Brendan M. Burke,Jordan Valdez,Laura Sledge,Jerome Frazier,Javaughn Swindell,Dion McBean,Sean Miller,Benny DeVincenzi,Joey McDevitt,Daniel Chung,Afro,Michael Shershenovich,Azul Rodriguez,Mr Green,Jarvis,Roi Cydulkin,Mavrin Kirill,Scrooge,KJ Rottweiler,Terrance Williams,Kim Carter,Gianluca Cirafici,Megan Dodd,Samantha Elisafon,Melissa Gonzalez,Rodney Hankins,Carol Hoverman,Andrew Kader,Marissa Lelogeais,Michael Lorch,Michael Melendez,Christian Patane,Ari Sloan,Bakari Williams,Aubrie Therrien,Sebastian Bear-McClard,Phil Cappadora,Lucas Elliot Eberl,Marcos A. Gonzalez,Edgar Morais,Shaun Rey,Sacco Sarkis",4.0,USA,439954,2016/12/07,https://a.ltrbxd.com/resized/film-poster/3/6/2/3/6/2/362362-good-time-0-230-0-345-crop.jpg,102,9/27/2021
Don't Breathe 2,2021.0,Rodo Sayagues,"Thriller,Horror","Stephen Lang,Brendan Sexton III,Madelyn Grace,Stephanie Arcila,Rocci Williams,Bobby Schofield,Adam Young,Fiona O'Shaughnessy,Steffan Rhodri,Diaana Babnicova,Christian Zagia,Ron Rogell",2.4,USA,68874,2017/10/21,https://a.ltrbxd.com/resized/film-poster/4/1/3/2/9/2/413292-don-t-breathe-2-0-230-0-345-crop.jpg,98,9/27/2021
Old,2021.0,M. Night Shyamalan,"Thriller,Mystery,Horror","Vicky Krieps,Gael García Bernal,Rufus Sewell,Alex Wolff,Thomasin McKenzie,Emun Elliott,Embeth Davidtz,Nolan River,Alexa Swinton,Nikki Amuka-Bird,Ken Leung,Aaron Pierre,Abbey Lee,Eliza Scanlen,Kailen Jude,Gustaf Hammarsten,Francesca Eastwood,Kathleen Chalfant,Luca Faustino Rodriguez,Kylie Begley,Mikaya Fisher,M. Night Shyamalan,Matthew Shear,Daniel Ison,Jeffrey Holsman,Deidra Ciolko,Margaux Da Silva,John Twohy,Alejandra Useche,Louise Walter,Arturo A. Baez",2.43,"China,Japan,USA",345103,2019/09/17,https://a.ltrbxd.com/resized/film-poster/5/5/8/0/5/4/558054-old-0-230-0-345-crop.jpg,108,9/27/2021
Chinatown,1974.0,Roman Polanski,"Thriller,Mystery,Crime,Drama","Jack Nicholson,Faye Dunaway,John Huston,Perry Lopez,John Hillerman,Diane Ladd,Roman Polanski,Roy Jenson,Richard Bakalyan,James Hong,Bruce Glover,Joe Mantell,Roy Roberts,Noble Willingham,Rance Howard,Jesse Vint,Burt Young,Lee de Broux,Darrell Zwerling,Nandu Hinds,James O'Rear,Beulah Quo,Jerry Fujikawa,Belinda Palmer,Elliott Montgomery,George Justin,C.O. Erickson,Charles Knapp,Claudio Martínez,Federico Roberto,Allan Warnick,John Holland,Jim Burk,Denny Arnold,Elizabeth Harding,John Rogers,Cecil Elliott,Paul Jenkins,Bob Golden,Richard Warren,Fritzi Burr,Cosmo Sardo",4.29,USA,247641,2011/06/22,https://a.ltrbxd.com/resized/film-poster/5/1/3/2/3/51323-chinatown-0-230-0-345-crop.jpg,130,10/10/2021
